planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
Kepler-11 f,46.6888,0.25,2,2.49,0.961,5663,NA,0.013,Transit
Kepler-138 d,23.0923,0.1288,2.1,1.51,0.535,3841,345,0.01,Transit
Kepler-101 b,3.4876812,0.0474,51.1,5.77,1.17,5667,1513,0.086,Transit
Kepler-11 g,118.3807,0.466,25,3.33,0.961,5663,NA,0.15,Transit
Kepler-51 b,45.154,0.2514,2.1,7.1,1.04,6018,543,0.04,Transit
Kepler-27 c,31.3309,0.191,4385.87,4.9,0.65,5400,NA,NA,Transit
Kepler-30 b,29.33434,0.18,11.3,3.9,0.99,5498,NA,0.042,Transit
Kepler-75 b,8.8849116,0.0818,3209.9,11.77,0.91,5200,767,0.57,Transit
Kepler-9 b,19.23891,0.143,43.4,8.29,1.022,5774,NA,0.0609,Transit
Kepler-30 d,143.34394,0.5,23.1,8.8,0.99,5498,NA,0.022,Transit
Kepler-80 b,7.05246,0.0648,6.93,2.67,0.73,4540,NA,NA,Transit
Kepler-53 b,18.6489525,NA,111,2.89,0.98,5858,NA,NA,Transit
Kepler-428 b,3.52563254,0.0433,403.63,12.11,0.87,5150,1070,0.22,Transit
Kepler-238 e,23.654,NA,169.7,5.6,1.06,NA,NA,NA,Transit
Kepler-27 b,15.3348,0.118,2895.31,4,0.65,5400,NA,NA,Transit
Kepler-539 b,125.63243,0.4988,308.2951,8.373123,1.048,5820,387.6,0.39,Transit
Kepler-28 b,5.91,NA,1.63,1.959,0.684,4499.3,NA,NA,Transit
Kepler-46 b,33.60134,0.1968,1907,9.057,0.902,5155,543,0.01,Transit
Kepler-82 b,26.44,0.1683,12.15,4.07,0.91,NA,NA,0.0033,Transit
Kepler-434 b,12.8747099,0.1143,908.96,12.67,1.198,5977,1000,0.131,Transit
Kepler-435 b,8.6001536,0.0948,266.97,22.31,1.538,6161,1729,0.114,Transit
Kepler-145 c,42.882,NA,79.4,4.32,1.32,NA,NA,NA,Transit
Kepler-177 c,49.40926,NA,14.7,8.73,0.921,5732,NA,0,Transit
Kepler-62 d,18.16406,0.12,14,1.95,0.69,4925,510,NA,Transit
Kepler-39 b,21.08721,0.164,6388.1,13.9,1.29,6350,897,0.112,Transit
Kepler-32 b,5.90124,0.05,1303,2.2,0.58,3900,NA,NA,Transit
Kepler-223 d,14.78869,NA,8,5.24,1.125,NA,NA,0.037,Transit
Kepler-29 b,10.33974,NA,5,2.55,0.761,5378,NA,0,Transit
Kepler-40 b,6.87349,0.08,699.2,13.11,1.48,6510,1620,0,Transit
Kepler-553 b,4.030467,0.04766,116.00736855,4.74139884,0.889,5191,1089,NA,Transit
Kepler-538 b,81.73778,0.3554,12.9,2.215,0.892,5534,417,0.21,Transit
Kepler-52 c,16.3850021,NA,45.4,1.84,0.54,4075,NA,NA,Transit
Kepler-595 b,25.3029092,NA,17.4,3.708,0.93,NA,NA,NA,Transit
Kepler-9 c,38.9853,0.227,29.9,8.08,1.022,5774,NA,0.06691,Transit
Kepler-30 c,60.323105,0.3,640,12.3,0.99,5498,NA,0.0111,Transit
Kepler-80 c,9.52355,0.0792,6.74,2.74,0.73,4540,NA,NA,Transit
Kepler-28 c,8.99,NA,2.06,1.857,0.684,4499.3,NA,0.017,Transit
Kepler-82 c,51.54,0.2626,13.9,5.34,0.91,NA,NA,0.007,Transit
Kepler-62 b,5.714932,0.0553,9,1.31,0.69,4925,750,NA,Transit
